"date","close","volume","open","high","low"
"16:00","54.38","31,374,013","54.62","54.70","54"
"2015/11/03","54.1500","36584100.0000","52.9300","54.3900","52.9000"
"2015/11/02","53.2400","30229020.0000","52.8500","53.3600","52.6200"
"2015/10/30","52.6400","46602700.0000","53.3200","53.9900","52.6200"
"2015/10/29","53.3600","30109050.0000","53.5400","53.8300","53.2200"
"2015/10/28","53.9800","46948360.0000","53.5400","53.9800","52.8600"
"2015/10/27","53.6900","50959580.0000","53.9900","54.3700","53.5800"
"2015/10/26","54.2500","64541790.0000","52.5300","54.3200","52.5000"
"2015/10/23","52.8700","135152900.0000","52.3000","54.0700","52.2500"
"2015/10/22","48.0300","55888280.0000","47.5300","48.9500","47.0900"
"2015/10/21","47.2000","25222760.0000","47.9200","47.9900","47.1100"
"2015/10/20","47.7700","30794100.0000","47.4400","47.8100","47.0200"
"2015/10/19","47.6200","29357660.0000","47.4200","47.8800","47.0200"
"2015/10/16","47.5100","25845550.0000","47.0200","47.5400","46.8970"
"2015/10/15","47.0100","27155510.0000","47.0100","47.0300","46.5300"
"2015/10/14","46.6800","24693460.0000","46.6500","47.1000","46.5300"
"2015/10/13","46.8900","19985330.0000","46.5600","47.1299","46.5600"
"2015/10/12","47.0000","19756420.0000","46.9800","47.0700","46.5000"
"2015/10/09","47.1100","28581690.0000","47.4500","47.5400","46.9200"
"2015/10/08","47.4500","33733860.0000","46.5600","47.5150","46.5000"
"2015/10/07","46.8000","27695610.0000","47.1000","47.3500","45.9500"
"2015/10/06","46.7500","27504360.0000","46.3300","47.1750","46.2200"
"2015/10/05","46.6300","33546080.0000","45.7450","46.8900","45.7000"
"2015/10/02","45.5700","41789610.0000","44.2700","45.5700","43.9200"
"2015/10/01","44.6100","28564790.0000","44.7500","44.7500","43.7500"
"2015/09/30","44.2600","34944070.0000","43.8800","44.3000","43.6600"
"2015/09/29","43.4400","32748610.0000","43.3700","43.5700","43.0500"
"2015/09/28","43.2900","27454240.0000","43.8300","44.0850","43.2050"
"2015/09/25","43.9400","29378050.0000","44.4800","44.7300","43.7600"
"2015/09/24","43.9100","27867010.0000","43.4500","44.1300","43.2700"
"2015/09/23","43.8700","17099600.0000","43.9300","44.1700","43.5100"
"2015/09/22","43.9000","28060540.0000","43.3800","44.0500","43.3100"
"2015/09/21","44.1100","26084680.0000","43.6200","44.4700","43.6000"
"2015/09/18","43.4800","63000180.0000","43.5000","43.9900","43.3300"
"2015/09/17","44.2500","29908540.0000","44.2900","45.0000","44.0800"
"2015/09/16","44.3000","23337620.0000","43.9700","44.3800","43.8400"
"2015/09/15","43.9800","28831030.0000","43.1900","44.2900","43.0800"
"2015/09/14","43.0400","23654490.0000","43.4300","43.4400","42.8600"
"2015/09/11","43.4800","26475350.0000","43.1400","43.5900","42.9399"
"2015/09/10","43.2900","31313520.0000","43.1200","43.7900","42.7450"
"2015/09/09","43.0700","33448580.0000","44.2100","44.4000","42.9100"
"2015/09/08","43.8900","32411680.0000","43.3000","44.0000","43.2000"
"2015/09/04","42.6100","37019110.0000","42.8100","43.0400","42.1950"
"2015/09/03","43.5000","28206410.0000","43.4100","43.9800","43.2800"
"2015/09/02","43.3600","37624230.0000","42.3600","43.3800","41.8800"
"2015/09/01","41.8200","49682210.0000","42.1700","42.5900","41.6600"
"2015/08/31","43.5200","34434480.0000","43.5600","43.9300","43.1000"
"2015/08/28","43.9300","28243230.0000","43.4000","44.1500","43.3900"
"2015/08/27","43.9000","50612610.0000","43.2300","43.9500","42.9250"
"2015/08/26","42.7100","63297300.0000","42.0100","42.8400","41.0600"
"2015/08/25","40.4700","70369920.0000","42.5650","43.2400","40.3900"
"2015/08/24","41.6800","88489910.0000","40.4500","43.3100","39.7200"
"2015/08/21","43.0700","69463900.0000","45.3000","45.4800","43.0700"
"2015/08/20","45.6600","36176380.0000","46.0700","46.4700","45.6600"
"2015/08/19","46.6100","31472060.0000","46.7800","47.0800","46.3000"
"2015/08/18","47.2700","23572990.0000","46.8400","47.4300","46.7000"
"2015/08/17","47.3200","21039660.0000","46.8100","47.4500","46.5700"
"2015/08/14","47.0000","21460830.0000","46.5300","47.1000","46.5200"
"2015/08/13","46.7300","22612650.0000","47.0600","47.1000","46.4900"
"2015/08/12","46.7400","30184710.0000","46.1900","46.9000","45.7050"
"2015/08/11","46.4100","28757610.0000","46.8200","46.9400","45.9000"
"2015/08/10","47.3300","23045530.0000","46.9500","47.4900","46.8400"
"2015/08/07","46.7400","19158590.0000","46.3900","46.7800","46.2600"
"2015/08/06","46.6200","27344040.0000","47.7100","47.7700","46.3300"
"2015/08/05","47.5800","27003740.0000","47.9800","48.4100","47.5400"
"2015/08/04","47.5400","33306110.0000","46.7500","47.7100","46.6800"
"2015/08/03","46.8100","23919340.0000","46.9800","47.0000","46.4500"
"2015/07/31","46.7000","31192430.0000","47.2900","47.3700","46.5000"
"2015/07/30","46.8800","39755700.0000","46.2600","47.4000","45.9300"
"2015/07/29","46.2900","40924210.0000","45.4000","46.7800","45.2600"
"2015/07/28","45.3400","34309080.0000","45.5800","45.6390","44.7900"
"2015/07/27","45.3500","39472930.0000","45.9400","46.0100","45.2500"
"2015/07/24","45.9400","32304070.0000","45.9100","46.3200","45.8000"
"2015/07/23","46.1100","33708200.0000","45.2700","46.2300","45.1000"
"2015/07/22","45.5400","59039160.0000","45.4400","46.9300","45.2030"
"2015/07/21","47.2800","42211210.0000","46.7800","47.3300","46.4800"
"2015/07/20","46.9200","30607770.0000","46.6500","47.1300","46.4400"
"2015/07/17","46.6200","29454740.0000","46.5500","46.7800","46.2600"
"2015/07/16","46.6600","26254220.0000","46.0100","46.6900","45.9650"
"2015/07/15","45.7600","26619810.0000","45.6800","45.8900","45.4300"
"2015/07/14","45.6200","22865770.0000","45.4500","45.9600","45.3100"
"2015/07/13","45.5400","27875670.0000","44.9750","45.6200","44.9501"
"2015/07/10","44.6100","25365530.0000","45.0100","45.1400","44.5700"
"2015/07/09","44.5200","32404100.0000","44.7500","45.2200","44.5000"
"2015/07/08","44.2400","39761460.0000","44.4400","44.9000","44.0300"
"2015/07/07","44.3000","36420230.0000","44.3400","44.4900","43.3200"
"2015/07/06","44.3900","23025750.0000","43.9600","44.4800","43.9500"
"2015/07/02","44.4000","21743250.0000","44.4800","44.7500","44.0600"
"2015/07/01","44.4450","28339610.0000","44.4600","45.2300","44.1000"
"2015/06/30","44.1500","35943040.0000","44.7100","44.7200","43.9400"
"2015/06/29","44.3700","34004400.0000","45.0400","45.2300","44.3600"
"2015/06/26","45.2600","49757070.0000","45.6500","46.2800","45.0300"
"2015/06/25","45.6500","20599990.0000","46.0300","46.0600","45.5000"
"2015/06/24","45.6350","34849400.0000","45.6700","46.2450","45.5500"
